bin_count,bin_freq,bin_range,x_value,bin_number
4,0.05063291139240506,"(-1.293, -1.147]",-1.293,1
1,0.012658227848101266,"(-1.147, -1.0]",-1.147,2
5,0.06329113924050633,"(-1.0, -0.854]",-1.0,3
2,0.02531645569620253,"(-0.854, -0.707]",-0.854,4
2,0.02531645569620253,"(-0.707, -0.56]",-0.707,5
5,0.06329113924050633,"(-0.56, -0.414]",-0.56,6
2,0.02531645569620253,"(-0.414, -0.267]",-0.414,7
6,0.0759493670886076,"(-0.267, -0.121]",-0.267,8
10,0.12658227848101267,"(-0.121, 0.0258]",-0.121,9
10,0.12658227848101267,"(0.0258, 0.172]",0.0258,10
8,0.10126582278481013,"(0.172, 0.319]",0.172,11
3,0.0379746835443038,"(0.319, 0.466]",0.319,12
6,0.0759493670886076,"(0.466, 0.612]",0.466,13
3,0.0379746835443038,"(0.612, 0.759]",0.612,14
3,0.0379746835443038,"(0.759, 0.905]",0.759,15
4,0.05063291139240506,"(0.905, 1.052]",0.905,16
2,0.02531645569620253,"(1.052, 1.198]",1.052,17
1,0.012658227848101266,"(1.198, 1.345]",1.198,18
1,0.012658227848101266,"(1.345, 1.491]",1.345,19
1,0.012658227848101266,"(1.491, 1.638]",1.491,20
