bin_count,bin_freq,bin_range,x_value,bin_number
1,0.029411764705882353,"(-1.836, -1.456]",-1.836,1
1,0.029411764705882353,"(-1.456, -1.075]",-1.456,2
4,0.11764705882352941,"(-1.075, -0.694]",-1.075,3
2,0.058823529411764705,"(-0.694, -0.314]",-0.694,4
7,0.20588235294117646,"(-0.314, 0.0668]",-0.314,5
8,0.23529411764705882,"(0.0668, 0.447]",0.0668,6
4,0.11764705882352941,"(0.447, 0.828]",0.447,7
1,0.029411764705882353,"(0.828, 1.209]",0.828,8
4,0.11764705882352941,"(1.209, 1.589]",1.209,9
1,0.029411764705882353,"(1.589, 1.97]",1.589,10
0,0.0,"(1.97, 2.35]",1.97,11
0,0.0,"(2.35, 2.731]",2.35,12
0,0.0,"(2.731, 3.112]",2.731,13
0,0.0,"(3.112, 3.492]",3.112,14
0,0.0,"(3.492, 3.873]",3.492,15
0,0.0,"(3.873, 4.253]",3.873,16
0,0.0,"(4.253, 4.634]",4.253,17
0,0.0,"(4.634, 5.015]",4.634,18
0,0.0,"(5.015, 5.395]",5.015,19
1,0.029411764705882353,"(5.395, 5.776]",5.395,20
