bin_count,bin_freq,bin_range,x_value,bin_number
1,0.03125,"(-1.327, -1.151]",-1.327,1
0,0.0,"(-1.151, -0.976]",-1.151,2
2,0.0625,"(-0.976, -0.8]",-0.976,3
1,0.03125,"(-0.8, -0.624]",-0.8,4
1,0.03125,"(-0.624, -0.448]",-0.624,5
5,0.15625,"(-0.448, -0.273]",-0.448,6
1,0.03125,"(-0.273, -0.0967]",-0.273,7
2,0.0625,"(-0.0967, 0.079]",-0.0967,8
3,0.09375,"(0.079, 0.255]",0.079,9
5,0.15625,"(0.255, 0.431]",0.255,10
3,0.09375,"(0.431, 0.606]",0.431,11
4,0.125,"(0.606, 0.782]",0.606,12
1,0.03125,"(0.782, 0.958]",0.782,13
1,0.03125,"(0.958, 1.134]",0.958,14
0,0.0,"(1.134, 1.309]",1.134,15
0,0.0,"(1.309, 1.485]",1.309,16
1,0.03125,"(1.485, 1.661]",1.485,17
0,0.0,"(1.661, 1.837]",1.661,18
0,0.0,"(1.837, 2.012]",1.837,19
1,0.03125,"(2.012, 2.188]",2.012,20
