bin_count,bin_freq,bin_range,x_value,bin_number
1,0.00510204081632653,"(-2.948, -2.689]",-2.948,1
0,0.0,"(-2.689, -2.43]",-2.689,2
1,0.00510204081632653,"(-2.43, -2.171]",-2.43,3
1,0.00510204081632653,"(-2.171, -1.912]",-2.171,4
2,0.01020408163265306,"(-1.912, -1.653]",-1.912,5
1,0.00510204081632653,"(-1.653, -1.393]",-1.653,6
4,0.02040816326530612,"(-1.393, -1.134]",-1.393,7
9,0.04591836734693878,"(-1.134, -0.875]",-1.134,8
10,0.05102040816326531,"(-0.875, -0.616]",-0.875,9
18,0.09183673469387756,"(-0.616, -0.357]",-0.616,10
38,0.19387755102040816,"(-0.357, -0.0974]",-0.357,11
46,0.23469387755102042,"(-0.0974, 0.162]",-0.0974,12
29,0.14795918367346939,"(0.162, 0.421]",0.162,13
7,0.03571428571428571,"(0.421, 0.68]",0.421,14
12,0.061224489795918366,"(0.68, 0.939]",0.68,15
7,0.03571428571428571,"(0.939, 1.198]",0.939,16
4,0.02040816326530612,"(1.198, 1.458]",1.198,17
2,0.01020408163265306,"(1.458, 1.717]",1.458,18
2,0.01020408163265306,"(1.717, 1.976]",1.717,19
2,0.01020408163265306,"(1.976, 2.235]",1.976,20
