bin_count,bin_freq,bin_range,x_value,bin_number
1,0.012345679012345678,"(-2.948, -2.704]",-2.948,1
0,0.0,"(-2.704, -2.46]",-2.704,2
1,0.012345679012345678,"(-2.46, -2.215]",-2.46,3
1,0.012345679012345678,"(-2.215, -1.971]",-2.215,4
0,0.0,"(-1.971, -1.726]",-1.971,5
0,0.0,"(-1.726, -1.482]",-1.726,6
0,0.0,"(-1.482, -1.238]",-1.482,7
3,0.037037037037037035,"(-1.238, -0.993]",-1.238,8
4,0.04938271604938271,"(-0.993, -0.749]",-0.993,9
4,0.04938271604938271,"(-0.749, -0.504]",-0.749,10
9,0.1111111111111111,"(-0.504, -0.26]",-0.504,11
15,0.18518518518518517,"(-0.26, -0.0155]",-0.26,12
17,0.20987654320987653,"(-0.0155, 0.229]",-0.0155,13
12,0.14814814814814814,"(0.229, 0.473]",0.229,14
2,0.024691358024691357,"(0.473, 0.718]",0.473,15
4,0.04938271604938271,"(0.718, 0.962]",0.718,16
4,0.04938271604938271,"(0.962, 1.207]",0.962,17
2,0.024691358024691357,"(1.207, 1.451]",1.207,18
1,0.012345679012345678,"(1.451, 1.695]",1.451,19
1,0.012345679012345678,"(1.695, 1.94]",1.695,20
