bin_count,bin_freq,bin_range,x_value,bin_number
5,0.011547344110854504,"(-3.143, -2.745]",-3.143,1
3,0.006928406466512702,"(-2.745, -2.346]",-2.745,2
6,0.013856812933025405,"(-2.346, -1.948]",-2.346,3
8,0.018475750577367205,"(-1.948, -1.55]",-1.948,4
20,0.046189376443418015,"(-1.55, -1.151]",-1.55,5
35,0.08083140877598152,"(-1.151, -0.753]",-1.151,6
52,0.12009237875288684,"(-0.753, -0.355]",-0.753,7
100,0.23094688221709006,"(-0.355, 0.0437]",-0.355,8
94,0.21709006928406466,"(0.0437, 0.442]",0.0437,9
60,0.13856812933025403,"(0.442, 0.84]",0.442,10
25,0.057736720554272515,"(0.84, 1.239]",0.84,11
8,0.018475750577367205,"(1.239, 1.637]",1.239,12
6,0.013856812933025405,"(1.637, 2.035]",1.637,13
6,0.013856812933025405,"(2.035, 2.434]",2.035,14
4,0.009237875288683603,"(2.434, 2.832]",2.434,15
0,0.0,"(2.832, 3.23]",2.832,16
0,0.0,"(3.23, 3.629]",3.23,17
0,0.0,"(3.629, 4.027]",3.629,18
0,0.0,"(4.027, 4.426]",4.027,19
1,0.0023094688221709007,"(4.426, 4.824]",4.426,20
