bin_count,bin_freq,bin_range,x_value,bin_number
1,0.1,"(-0.65, -0.561]",-0.65,1
1,0.1,"(-0.561, -0.471]",-0.561,2
0,0.0,"(-0.471, -0.381]",-0.471,3
0,0.0,"(-0.381, -0.291]",-0.381,4
1,0.1,"(-0.291, -0.201]",-0.291,5
1,0.1,"(-0.201, -0.111]",-0.201,6
2,0.2,"(-0.111, -0.0214]",-0.111,7
1,0.1,"(-0.0214, 0.0685]",-0.0214,8
0,0.0,"(0.0685, 0.158]",0.0685,9
1,0.1,"(0.158, 0.248]",0.158,10
1,0.1,"(0.248, 0.338]",0.248,11
0,0.0,"(0.338, 0.428]",0.338,12
0,0.0,"(0.428, 0.518]",0.428,13
0,0.0,"(0.518, 0.608]",0.518,14
0,0.0,"(0.608, 0.697]",0.608,15
0,0.0,"(0.697, 0.787]",0.697,16
0,0.0,"(0.787, 0.877]",0.787,17
0,0.0,"(0.877, 0.967]",0.877,18
0,0.0,"(0.967, 1.057]",0.967,19
1,0.1,"(1.057, 1.147]",1.057,20
