bin_count,bin_freq,bin_range,x_value,bin_number
1,0.010638297872340425,"(-2.194, -1.968]",-2.194,1
1,0.010638297872340425,"(-1.968, -1.741]",-1.968,2
0,0.0,"(-1.741, -1.515]",-1.741,3
1,0.010638297872340425,"(-1.515, -1.289]",-1.515,4
2,0.02127659574468085,"(-1.289, -1.063]",-1.289,5
0,0.0,"(-1.063, -0.836]",-1.063,6
1,0.010638297872340425,"(-0.836, -0.61]",-0.836,7
4,0.0425531914893617,"(-0.61, -0.384]",-0.61,8
11,0.11702127659574468,"(-0.384, -0.158]",-0.384,9
28,0.2978723404255319,"(-0.158, 0.0686]",-0.158,10
30,0.3191489361702128,"(0.0686, 0.295]",0.0686,11
5,0.05319148936170213,"(0.295, 0.521]",0.295,12
2,0.02127659574468085,"(0.521, 0.747]",0.521,13
3,0.031914893617021274,"(0.747, 0.974]",0.747,14
1,0.010638297872340425,"(0.974, 1.2]",0.974,15
1,0.010638297872340425,"(1.2, 1.426]",1.2,16
1,0.010638297872340425,"(1.426, 1.652]",1.426,17
0,0.0,"(1.652, 1.879]",1.652,18
0,0.0,"(1.879, 2.105]",1.879,19
2,0.02127659574468085,"(2.105, 2.331]",2.105,20
