bin_count,bin_freq,bin_range,x_value,bin_number
1,0.25,"(-0.663, -0.545]",-0.663,1
0,0.0,"(-0.545, -0.426]",-0.545,2
0,0.0,"(-0.426, -0.308]",-0.426,3
0,0.0,"(-0.308, -0.19]",-0.308,4
1,0.25,"(-0.19, -0.0714]",-0.19,5
0,0.0,"(-0.0714, 0.0469]",-0.0714,6
1,0.25,"(0.0469, 0.165]",0.0469,7
0,0.0,"(0.165, 0.283]",0.165,8
0,0.0,"(0.283, 0.402]",0.283,9
0,0.0,"(0.402, 0.52]",0.402,10
0,0.0,"(0.52, 0.638]",0.52,11
0,0.0,"(0.638, 0.757]",0.638,12
0,0.0,"(0.757, 0.875]",0.757,13
0,0.0,"(0.875, 0.993]",0.875,14
0,0.0,"(0.993, 1.112]",0.993,15
0,0.0,"(1.112, 1.23]",1.112,16
0,0.0,"(1.23, 1.348]",1.23,17
0,0.0,"(1.348, 1.467]",1.348,18
0,0.0,"(1.467, 1.585]",1.467,19
1,0.25,"(1.585, 1.703]",1.585,20
