bin_count,bin_freq,bin_range,x_value,bin_number
1,0.08333333333333333,"(-0.626, -0.56]",-0.626,1
0,0.0,"(-0.56, -0.494]",-0.56,2
0,0.0,"(-0.494, -0.427]",-0.494,3
1,0.08333333333333333,"(-0.427, -0.361]",-0.427,4
1,0.08333333333333333,"(-0.361, -0.295]",-0.361,5
1,0.08333333333333333,"(-0.295, -0.228]",-0.295,6
0,0.0,"(-0.228, -0.162]",-0.228,7
0,0.0,"(-0.162, -0.0957]",-0.162,8
2,0.16666666666666666,"(-0.0957, -0.0294]",-0.0957,9
3,0.25,"(-0.0294, 0.0369]",-0.0294,10
0,0.0,"(0.0369, 0.103]",0.0369,11
0,0.0,"(0.103, 0.169]",0.103,12
0,0.0,"(0.169, 0.236]",0.169,13
1,0.08333333333333333,"(0.236, 0.302]",0.236,14
1,0.08333333333333333,"(0.302, 0.368]",0.302,15
0,0.0,"(0.368, 0.435]",0.368,16
0,0.0,"(0.435, 0.501]",0.435,17
0,0.0,"(0.501, 0.567]",0.501,18
0,0.0,"(0.567, 0.634]",0.567,19
1,0.08333333333333333,"(0.634, 0.7]",0.634,20
