bin_count,bin_freq,bin_range,x_value,bin_number
1,0.0007961783439490446,"(-3.143, -2.889]",-3.143,1
0,0.0,"(-2.889, -2.635]",-2.889,2
0,0.0,"(-2.635, -2.381]",-2.635,3
0,0.0,"(-2.381, -2.126]",-2.381,4
1,0.0007961783439490446,"(-2.126, -1.872]",-2.126,5
6,0.004777070063694267,"(-1.872, -1.618]",-1.872,6
6,0.004777070063694267,"(-1.618, -1.364]",-1.618,7
21,0.016719745222929936,"(-1.364, -1.11]",-1.364,8
22,0.01751592356687898,"(-1.11, -0.856]",-1.11,9
60,0.04777070063694268,"(-0.856, -0.602]",-0.856,10
100,0.07961783439490445,"(-0.602, -0.347]",-0.602,11
273,0.21735668789808918,"(-0.347, -0.0933]",-0.347,12
418,0.3328025477707006,"(-0.0933, 0.161]",-0.0933,13
182,0.1449044585987261,"(0.161, 0.415]",0.161,14
76,0.06050955414012739,"(0.415, 0.669]",0.415,15
46,0.03662420382165605,"(0.669, 0.923]",0.669,16
21,0.016719745222929936,"(0.923, 1.177]",0.923,17
14,0.011146496815286623,"(1.177, 1.432]",1.177,18
6,0.004777070063694267,"(1.432, 1.686]",1.432,19
3,0.0023885350318471337,"(1.686, 1.94]",1.686,20
