bin_count,bin_freq,bin_range,x_value,bin_number
2,0.01,"(-1.303, -1.181]",-1.303,1
3,0.015,"(-1.181, -1.06]",-1.181,2
2,0.01,"(-1.06, -0.938]",-1.06,3
2,0.01,"(-0.938, -0.816]",-0.938,4
4,0.02,"(-0.816, -0.695]",-0.816,5
6,0.03,"(-0.695, -0.573]",-0.695,6
2,0.01,"(-0.573, -0.452]",-0.573,7
18,0.09,"(-0.452, -0.33]",-0.452,8
16,0.08,"(-0.33, -0.208]",-0.33,9
28,0.14,"(-0.208, -0.0868]",-0.208,10
42,0.21,"(-0.0868, 0.0348]",-0.0868,11
25,0.125,"(0.0348, 0.156]",0.0348,12
17,0.085,"(0.156, 0.278]",0.156,13
14,0.07,"(0.278, 0.4]",0.278,14
6,0.03,"(0.4, 0.521]",0.4,15
5,0.025,"(0.521, 0.643]",0.521,16
6,0.03,"(0.643, 0.764]",0.643,17
0,0.0,"(0.764, 0.886]",0.764,18
1,0.005,"(0.886, 1.008]",0.886,19
1,0.005,"(1.008, 1.129]",1.008,20
