bin_count,bin_freq,bin_range,x_value,bin_number
1,0.041666666666666664,"(-1.753, -1.591]",-1.753,1
1,0.041666666666666664,"(-1.591, -1.429]",-1.591,2
0,0.0,"(-1.429, -1.267]",-1.429,3
0,0.0,"(-1.267, -1.106]",-1.267,4
2,0.08333333333333333,"(-1.106, -0.944]",-1.106,5
1,0.041666666666666664,"(-0.944, -0.782]",-0.944,6
0,0.0,"(-0.782, -0.62]",-0.782,7
0,0.0,"(-0.62, -0.458]",-0.62,8
4,0.16666666666666666,"(-0.458, -0.296]",-0.458,9
2,0.08333333333333333,"(-0.296, -0.135]",-0.296,10
1,0.041666666666666664,"(-0.135, 0.0272]",-0.135,11
1,0.041666666666666664,"(0.0272, 0.189]",0.0272,12
1,0.041666666666666664,"(0.189, 0.351]",0.189,13
3,0.125,"(0.351, 0.513]",0.351,14
1,0.041666666666666664,"(0.513, 0.674]",0.513,15
1,0.041666666666666664,"(0.674, 0.836]",0.674,16
1,0.041666666666666664,"(0.836, 0.998]",0.836,17
1,0.041666666666666664,"(0.998, 1.16]",0.998,18
2,0.08333333333333333,"(1.16, 1.322]",1.16,19
1,0.041666666666666664,"(1.322, 1.484]",1.322,20
