bin_count,bin_freq,bin_range,x_value,bin_number
2,0.003663003663003663,"(-1.899, -1.707]",-1.899,1
4,0.007326007326007326,"(-1.707, -1.515]",-1.707,2
2,0.003663003663003663,"(-1.515, -1.323]",-1.515,3
4,0.007326007326007326,"(-1.323, -1.131]",-1.323,4
7,0.01282051282051282,"(-1.131, -0.939]",-1.131,5
7,0.01282051282051282,"(-0.939, -0.747]",-0.939,6
21,0.038461538461538464,"(-0.747, -0.555]",-0.747,7
24,0.04395604395604396,"(-0.555, -0.363]",-0.555,8
65,0.11904761904761904,"(-0.363, -0.171]",-0.363,9
170,0.31135531135531136,"(-0.171, 0.0205]",-0.171,10
126,0.23076923076923078,"(0.0205, 0.212]",0.0205,11
58,0.10622710622710622,"(0.212, 0.404]",0.212,12
20,0.03663003663003663,"(0.404, 0.596]",0.404,13
12,0.02197802197802198,"(0.596, 0.788]",0.596,14
7,0.01282051282051282,"(0.788, 0.98]",0.788,15
6,0.01098901098901099,"(0.98, 1.172]",0.98,16
5,0.009157509157509158,"(1.172, 1.364]",1.172,17
2,0.003663003663003663,"(1.364, 1.556]",1.364,18
3,0.005494505494505495,"(1.556, 1.748]",1.556,19
1,0.0018315018315018315,"(1.748, 1.94]",1.748,20
