bin_count,bin_freq,bin_range,x_value,bin_number
3,0.041666666666666664,"(-0.97, -0.85]",-0.97,1
1,0.013888888888888888,"(-0.85, -0.73]",-0.85,2
4,0.05555555555555555,"(-0.73, -0.61]",-0.73,3
4,0.05555555555555555,"(-0.61, -0.49]",-0.61,4
2,0.027777777777777776,"(-0.49, -0.37]",-0.49,5
5,0.06944444444444445,"(-0.37, -0.25]",-0.37,6
3,0.041666666666666664,"(-0.25, -0.131]",-0.25,7
13,0.18055555555555555,"(-0.131, -0.0106]",-0.131,8
5,0.06944444444444445,"(-0.0106, 0.109]",-0.0106,9
8,0.1111111111111111,"(0.109, 0.229]",0.109,10
7,0.09722222222222222,"(0.229, 0.349]",0.229,11
4,0.05555555555555555,"(0.349, 0.469]",0.349,12
4,0.05555555555555555,"(0.469, 0.589]",0.469,13
1,0.013888888888888888,"(0.589, 0.709]",0.589,14
3,0.041666666666666664,"(0.709, 0.829]",0.709,15
1,0.013888888888888888,"(0.829, 0.949]",0.829,16
1,0.013888888888888888,"(0.949, 1.069]",0.949,17
1,0.013888888888888888,"(1.069, 1.188]",1.069,18
1,0.013888888888888888,"(1.188, 1.308]",1.188,19
1,0.013888888888888888,"(1.308, 1.428]",1.308,20
