bin_count,bin_freq,bin_range,x_value,bin_number
1,0.023809523809523808,"(-1.635, -1.48]",-1.635,1
0,0.0,"(-1.48, -1.324]",-1.48,2
1,0.023809523809523808,"(-1.324, -1.168]",-1.324,3
0,0.0,"(-1.168, -1.013]",-1.168,4
2,0.047619047619047616,"(-1.013, -0.857]",-1.013,5
0,0.0,"(-0.857, -0.701]",-0.857,6
4,0.09523809523809523,"(-0.701, -0.546]",-0.701,7
3,0.07142857142857142,"(-0.546, -0.39]",-0.546,8
4,0.09523809523809523,"(-0.39, -0.235]",-0.39,9
5,0.11904761904761904,"(-0.235, -0.079]",-0.235,10
6,0.14285714285714285,"(-0.079, 0.0766]",-0.079,11
7,0.16666666666666666,"(0.0766, 0.232]",0.0766,12
2,0.047619047619047616,"(0.232, 0.388]",0.232,13
2,0.047619047619047616,"(0.388, 0.543]",0.388,14
1,0.023809523809523808,"(0.543, 0.699]",0.543,15
0,0.0,"(0.699, 0.855]",0.699,16
0,0.0,"(0.855, 1.01]",0.855,17
0,0.0,"(1.01, 1.166]",1.01,18
0,0.0,"(1.166, 1.321]",1.166,19
4,0.09523809523809523,"(1.321, 1.477]",1.321,20
