bin_count,bin_freq,bin_range,x_value,bin_number
1,0.007194244604316547,"(-1.625, -1.481]",-1.625,1
1,0.007194244604316547,"(-1.481, -1.337]",-1.481,2
0,0.0,"(-1.337, -1.192]",-1.337,3
0,0.0,"(-1.192, -1.048]",-1.192,4
0,0.0,"(-1.048, -0.903]",-1.048,5
3,0.02158273381294964,"(-0.903, -0.759]",-0.903,6
7,0.050359712230215826,"(-0.759, -0.614]",-0.759,7
3,0.02158273381294964,"(-0.614, -0.47]",-0.614,8
9,0.06474820143884892,"(-0.47, -0.325]",-0.47,9
11,0.07913669064748201,"(-0.325, -0.181]",-0.325,10
27,0.19424460431654678,"(-0.181, -0.0364]",-0.181,11
38,0.2733812949640288,"(-0.0364, 0.108]",-0.0364,12
14,0.10071942446043165,"(0.108, 0.253]",0.108,13
7,0.050359712230215826,"(0.253, 0.397]",0.253,14
8,0.05755395683453238,"(0.397, 0.541]",0.397,15
2,0.014388489208633094,"(0.541, 0.686]",0.541,16
5,0.03597122302158273,"(0.686, 0.83]",0.686,17
0,0.0,"(0.83, 0.975]",0.83,18
1,0.007194244604316547,"(0.975, 1.119]",0.975,19
2,0.014388489208633094,"(1.119, 1.264]",1.119,20
