bin_count,bin_freq,bin_range,x_value,bin_number
1,0.02857142857142857,"(-1.722, -1.552]",-1.722,1
1,0.02857142857142857,"(-1.552, -1.381]",-1.552,2
0,0.0,"(-1.381, -1.21]",-1.381,3
0,0.0,"(-1.21, -1.04]",-1.21,4
0,0.0,"(-1.04, -0.869]",-1.04,5
3,0.08571428571428572,"(-0.869, -0.698]",-0.869,6
4,0.11428571428571428,"(-0.698, -0.527]",-0.698,7
1,0.02857142857142857,"(-0.527, -0.357]",-0.527,8
3,0.08571428571428572,"(-0.357, -0.186]",-0.357,9
8,0.22857142857142856,"(-0.186, -0.0153]",-0.186,10
1,0.02857142857142857,"(-0.0153, 0.155]",-0.0153,11
3,0.08571428571428572,"(0.155, 0.326]",0.155,12
5,0.14285714285714285,"(0.326, 0.497]",0.326,13
2,0.05714285714285714,"(0.497, 0.668]",0.497,14
0,0.0,"(0.668, 0.838]",0.668,15
1,0.02857142857142857,"(0.838, 1.009]",0.838,16
1,0.02857142857142857,"(1.009, 1.18]",1.009,17
0,0.0,"(1.18, 1.35]",1.18,18
0,0.0,"(1.35, 1.521]",1.35,19
1,0.02857142857142857,"(1.521, 1.692]",1.521,20
