bin_count,bin_freq,bin_range,x_value,bin_number
3,0.06976744186046512,"(-1.702, -1.558]",-1.702,1
0,0.0,"(-1.558, -1.415]",-1.558,2
0,0.0,"(-1.415, -1.272]",-1.415,3
1,0.023255813953488372,"(-1.272, -1.128]",-1.272,4
1,0.023255813953488372,"(-1.128, -0.985]",-1.128,5
0,0.0,"(-0.985, -0.841]",-0.985,6
1,0.023255813953488372,"(-0.841, -0.698]",-0.841,7
1,0.023255813953488372,"(-0.698, -0.554]",-0.698,8
3,0.06976744186046512,"(-0.554, -0.411]",-0.554,9
0,0.0,"(-0.411, -0.267]",-0.411,10
4,0.09302325581395349,"(-0.267, -0.124]",-0.267,11
5,0.11627906976744186,"(-0.124, 0.0197]",-0.124,12
7,0.16279069767441862,"(0.0197, 0.163]",0.0197,13
4,0.09302325581395349,"(0.163, 0.307]",0.163,14
3,0.06976744186046512,"(0.307, 0.45]",0.307,15
5,0.11627906976744186,"(0.45, 0.594]",0.45,16
2,0.046511627906976744,"(0.594, 0.737]",0.594,17
0,0.0,"(0.737, 0.88]",0.737,18
1,0.023255813953488372,"(0.88, 1.024]",0.88,19
2,0.046511627906976744,"(1.024, 1.167]",1.024,20
