bin_count,bin_freq,bin_range,x_value,bin_number
4,0.012232415902140673,"(-1.324, -1.152]",-1.324,1
3,0.009174311926605505,"(-1.152, -0.98]",-1.152,2
6,0.01834862385321101,"(-0.98, -0.808]",-0.98,3
10,0.03058103975535168,"(-0.808, -0.636]",-0.808,4
6,0.01834862385321101,"(-0.636, -0.464]",-0.636,5
20,0.06116207951070336,"(-0.464, -0.292]",-0.464,6
44,0.1345565749235474,"(-0.292, -0.121]",-0.292,7
91,0.2782874617737003,"(-0.121, 0.0513]",-0.121,8
71,0.21712538226299694,"(0.0513, 0.223]",0.0513,9
23,0.07033639143730887,"(0.223, 0.395]",0.223,10
19,0.0581039755351682,"(0.395, 0.567]",0.395,11
16,0.04892966360856269,"(0.567, 0.739]",0.567,12
5,0.01529051987767584,"(0.739, 0.911]",0.739,13
5,0.01529051987767584,"(0.911, 1.083]",0.911,14
1,0.0030581039755351682,"(1.083, 1.255]",1.083,15
0,0.0,"(1.255, 1.427]",1.255,16
0,0.0,"(1.427, 1.599]",1.427,17
1,0.0030581039755351682,"(1.599, 1.77]",1.599,18
0,0.0,"(1.77, 1.942]",1.77,19
2,0.0061162079510703364,"(1.942, 2.114]",1.942,20
