bin_count,bin_freq,bin_range,x_value,bin_number
1,0.03333333333333333,"(-2.053, -1.877]",-2.053,1
0,0.0,"(-1.877, -1.701]",-1.877,2
0,0.0,"(-1.701, -1.524]",-1.701,3
0,0.0,"(-1.524, -1.348]",-1.524,4
0,0.0,"(-1.348, -1.172]",-1.348,5
1,0.03333333333333333,"(-1.172, -0.995]",-1.172,6
2,0.06666666666666667,"(-0.995, -0.819]",-0.995,7
2,0.06666666666666667,"(-0.819, -0.643]",-0.819,8
1,0.03333333333333333,"(-0.643, -0.466]",-0.643,9
2,0.06666666666666667,"(-0.466, -0.29]",-0.466,10
6,0.2,"(-0.29, -0.114]",-0.29,11
4,0.13333333333333333,"(-0.114, 0.0626]",-0.114,12
4,0.13333333333333333,"(0.0626, 0.239]",0.0626,13
4,0.13333333333333333,"(0.239, 0.415]",0.239,14
2,0.06666666666666667,"(0.415, 0.592]",0.415,15
0,0.0,"(0.592, 0.768]",0.592,16
0,0.0,"(0.768, 0.944]",0.768,17
0,0.0,"(0.944, 1.121]",0.944,18
0,0.0,"(1.121, 1.297]",1.121,19
1,0.03333333333333333,"(1.297, 1.473]",1.297,20
