bin_count,bin_freq,bin_range,x_value,bin_number
1,0.023255813953488372,"(-2.77, -2.574]",-2.77,1
0,0.0,"(-2.574, -2.378]",-2.574,2
0,0.0,"(-2.378, -2.182]",-2.378,3
0,0.0,"(-2.182, -1.986]",-2.182,4
1,0.023255813953488372,"(-1.986, -1.79]",-1.986,5
0,0.0,"(-1.79, -1.594]",-1.79,6
1,0.023255813953488372,"(-1.594, -1.398]",-1.594,7
0,0.0,"(-1.398, -1.202]",-1.398,8
2,0.046511627906976744,"(-1.202, -1.006]",-1.202,9
2,0.046511627906976744,"(-1.006, -0.81]",-1.006,10
7,0.16279069767441862,"(-0.81, -0.614]",-0.81,11
1,0.023255813953488372,"(-0.614, -0.418]",-0.614,12
6,0.13953488372093023,"(-0.418, -0.222]",-0.418,13
2,0.046511627906976744,"(-0.222, -0.0262]",-0.222,14
8,0.18604651162790697,"(-0.0262, 0.17]",-0.0262,15
3,0.06976744186046512,"(0.17, 0.366]",0.17,16
3,0.06976744186046512,"(0.366, 0.562]",0.366,17
3,0.06976744186046512,"(0.562, 0.758]",0.562,18
1,0.023255813953488372,"(0.758, 0.954]",0.758,19
2,0.046511627906976744,"(0.954, 1.15]",0.954,20
