bin_count,bin_freq,bin_range,x_value,bin_number
1,0.08333333333333333,"(-0.733, -0.66]",-0.733,1
1,0.08333333333333333,"(-0.66, -0.586]",-0.66,2
1,0.08333333333333333,"(-0.586, -0.513]",-0.586,3
1,0.08333333333333333,"(-0.513, -0.439]",-0.513,4
0,0.0,"(-0.439, -0.366]",-0.439,5
2,0.16666666666666666,"(-0.366, -0.293]",-0.366,6
0,0.0,"(-0.293, -0.219]",-0.293,7
0,0.0,"(-0.219, -0.146]",-0.219,8
0,0.0,"(-0.146, -0.0726]",-0.146,9
0,0.0,"(-0.0726, 0.000797]",-0.0726,10
0,0.0,"(0.000797, 0.0742]",0.000797,11
0,0.0,"(0.0742, 0.148]",0.0742,12
1,0.08333333333333333,"(0.148, 0.221]",0.148,13
1,0.08333333333333333,"(0.221, 0.294]",0.221,14
0,0.0,"(0.294, 0.368]",0.294,15
2,0.16666666666666666,"(0.368, 0.441]",0.368,16
0,0.0,"(0.441, 0.514]",0.441,17
0,0.0,"(0.514, 0.588]",0.514,18
0,0.0,"(0.588, 0.661]",0.588,19
2,0.16666666666666666,"(0.661, 0.735]",0.661,20
