bin_count,bin_freq,bin_range,x_value,bin_number
4,0.07407407407407407,"(-0.885, -0.798]",-0.885,1
1,0.018518518518518517,"(-0.798, -0.711]",-0.798,2
1,0.018518518518518517,"(-0.711, -0.624]",-0.711,3
2,0.037037037037037035,"(-0.624, -0.537]",-0.624,4
1,0.018518518518518517,"(-0.537, -0.449]",-0.537,5
3,0.05555555555555555,"(-0.449, -0.362]",-0.449,6
6,0.1111111111111111,"(-0.362, -0.275]",-0.362,7
5,0.09259259259259259,"(-0.275, -0.188]",-0.275,8
3,0.05555555555555555,"(-0.188, -0.101]",-0.188,9
2,0.037037037037037035,"(-0.101, -0.0141]",-0.101,10
6,0.1111111111111111,"(-0.0141, 0.073]",-0.0141,11
3,0.05555555555555555,"(0.073, 0.16]",0.073,12
6,0.1111111111111111,"(0.16, 0.247]",0.16,13
3,0.05555555555555555,"(0.247, 0.334]",0.247,14
2,0.037037037037037035,"(0.334, 0.421]",0.334,15
1,0.018518518518518517,"(0.421, 0.508]",0.421,16
2,0.037037037037037035,"(0.508, 0.595]",0.508,17
1,0.018518518518518517,"(0.595, 0.682]",0.595,18
2,0.037037037037037035,"(0.682, 0.77]",0.682,19
0,0.0,"(0.77, 0.857]",0.77,20
