bin_count,bin_freq,bin_range,x_value,bin_number
1,0.037037037037037035,"(-0.885, -0.805]",-0.885,1
0,0.0,"(-0.805, -0.725]",-0.805,2
1,0.037037037037037035,"(-0.725, -0.644]",-0.725,3
0,0.0,"(-0.644, -0.564]",-0.644,4
1,0.037037037037037035,"(-0.564, -0.484]",-0.564,5
0,0.0,"(-0.484, -0.404]",-0.484,6
4,0.14814814814814814,"(-0.404, -0.324]",-0.404,7
1,0.037037037037037035,"(-0.324, -0.244]",-0.324,8
4,0.14814814814814814,"(-0.244, -0.164]",-0.244,9
2,0.07407407407407407,"(-0.164, -0.0837]",-0.164,10
1,0.037037037037037035,"(-0.0837, -0.00361]",-0.0837,11
4,0.14814814814814814,"(-0.00361, 0.0765]",-0.00361,12
2,0.07407407407407407,"(0.0765, 0.157]",0.0765,13
2,0.07407407407407407,"(0.157, 0.237]",0.157,14
1,0.037037037037037035,"(0.237, 0.317]",0.237,15
0,0.0,"(0.317, 0.397]",0.317,16
0,0.0,"(0.397, 0.477]",0.397,17
0,0.0,"(0.477, 0.557]",0.477,18
1,0.037037037037037035,"(0.557, 0.637]",0.557,19
2,0.07407407407407407,"(0.637, 0.717]",0.637,20
