bin_count,bin_freq,bin_range,x_value,bin_number
1,0.008064516129032258,"(-1.61, -1.402]",-1.61,1
1,0.008064516129032258,"(-1.402, -1.195]",-1.402,2
3,0.024193548387096774,"(-1.195, -0.988]",-1.195,3
2,0.016129032258064516,"(-0.988, -0.78]",-0.988,4
6,0.04838709677419355,"(-0.78, -0.573]",-0.78,5
5,0.04032258064516129,"(-0.573, -0.366]",-0.573,6
22,0.1774193548387097,"(-0.366, -0.158]",-0.366,7
34,0.27419354838709675,"(-0.158, 0.0491]",-0.158,8
19,0.1532258064516129,"(0.0491, 0.256]",0.0491,9
12,0.0967741935483871,"(0.256, 0.464]",0.256,10
8,0.06451612903225806,"(0.464, 0.671]",0.464,11
5,0.04032258064516129,"(0.671, 0.878]",0.671,12
1,0.008064516129032258,"(0.878, 1.086]",0.878,13
2,0.016129032258064516,"(1.086, 1.293]",1.086,14
1,0.008064516129032258,"(1.293, 1.5]",1.293,15
0,0.0,"(1.5, 1.708]",1.5,16
0,0.0,"(1.708, 1.915]",1.708,17
1,0.008064516129032258,"(1.915, 2.122]",1.915,18
0,0.0,"(2.122, 2.33]",2.122,19
1,0.008064516129032258,"(2.33, 2.537]",2.33,20
