bin_count,bin_freq,bin_range,x_value,bin_number
1,0.045454545454545456,"(-1.722, -1.576]",-1.722,1
0,0.0,"(-1.576, -1.429]",-1.576,2
0,0.0,"(-1.429, -1.282]",-1.429,3
1,0.045454545454545456,"(-1.282, -1.135]",-1.282,4
0,0.0,"(-1.135, -0.989]",-1.135,5
1,0.045454545454545456,"(-0.989, -0.842]",-0.989,6
0,0.0,"(-0.842, -0.695]",-0.842,7
1,0.045454545454545456,"(-0.695, -0.549]",-0.695,8
0,0.0,"(-0.549, -0.402]",-0.549,9
0,0.0,"(-0.402, -0.255]",-0.402,10
4,0.18181818181818182,"(-0.255, -0.108]",-0.255,11
3,0.13636363636363635,"(-0.108, 0.0383]",-0.108,12
3,0.13636363636363635,"(0.0383, 0.185]",0.0383,13
3,0.13636363636363635,"(0.185, 0.332]",0.185,14
2,0.09090909090909091,"(0.332, 0.478]",0.332,15
0,0.0,"(0.478, 0.625]",0.478,16
2,0.09090909090909091,"(0.625, 0.772]",0.625,17
0,0.0,"(0.772, 0.919]",0.772,18
0,0.0,"(0.919, 1.065]",0.919,19
1,0.045454545454545456,"(1.065, 1.212]",1.065,20
