symbol,row,column,data,name,count,average_residual,average_predicted,average_actual
He,1,18,0.0,Helium,0.0,0.0,0.0,0.0
Ne,2,18,0.0,Neon,0.0,0.0,0.0,0.0
Ar,3,18,0.0,Argon,0.0,0.0,0.0,0.0
Kr,4,18,0.0,Krypton,0.0,0.0,0.0,0.0
Xe,5,18,0.0,Xenon,0.0,0.0,0.0,0.0
Pm,9,8,0.0,Promethium,0.0,0.0,0.0,0.0
Po,6,16,0.0,Polonium,0.0,0.0,0.0,0.0
At,6,17,0.0,Astatine,0.0,0.0,0.0,0.0
Rn,6,18,0.0,Radon,0.0,0.0,0.0,0.0
Fr,7,1,0.0,Francium,0.0,0.0,0.0,0.0
Ra,7,2,0.0,Radium,0.0,0.0,0.0,0.0
Ac,10,4,0.0,Actinium,0.0,0.0,0.0,0.0
Pa,10,6,0.0,Protactinium,0.0,0.0,0.0,0.0
Np,10,8,0.0,Neptunium,0.0,0.0,0.0,0.0
Pu,10,9,0.0,Plutonium,0.0,0.0,0.0,0.0
Am,10,10,0.0,Americium,0.0,0.0,0.0,0.0
Cm,10,11,0.0,Curium,0.0,0.0,0.0,0.0
Bk,10,12,0.0,Berkelium,0.0,0.0,0.0,0.0
Cf,10,13,0.0,Californium,0.0,0.0,0.0,0.0
Es,10,14,0.0,Einsteinium,0.0,0.0,0.0,0.0
Fm,10,15,0.0,Fermium,0.0,0.0,0.0,0.0
Md,10,16,0.0,Mendelevium,0.0,0.0,0.0,0.0
No,10,17,0.0,Nobelium,0.0,0.0,0.0,0.0
Lr,10,18,0.0,Lawrencium,0.0,0.0,0.0,0.0
Rf,7,4,0.0,Rutherfordium,0.0,0.0,0.0,0.0
Db,7,5,0.0,Dubnium,0.0,0.0,0.0,0.0
Sg,7,6,0.0,Seaborgium,0.0,0.0,0.0,0.0
Bh,7,7,0.0,Bohrium,0.0,0.0,0.0,0.0
Hs,7,8,0.0,Hassium,0.0,0.0,0.0,0.0
Mt,7,9,0.0,Meitnerium,0.0,0.0,0.0,0.0
Ds,7,10,0.0,Darmstadtium,0.0,0.0,0.0,0.0
Rg,7,11,0.0,Roentgenium,0.0,0.0,0.0,0.0
Cn,7,12,0.0,Copernicium,0.0,0.0,0.0,0.0
Nh,7,13,0.0,Nihonium,0.0,0.0,0.0,0.0
Fl,7,14,0.0,Flerovium,0.0,0.0,0.0,0.0
Mc,7,15,0.0,Moscovium,0.0,0.0,0.0,0.0
Lv,7,16,0.0,Livemorium,0.0,0.0,0.0,0.0
Ts,7,17,0.0,Tennessine,0.0,0.0,0.0,0.0
Og,7,18,0.0,Oranesson,0.0,0.0,0.0,0.0
Tc,5,7,1.0,Technetium,4.0,0.09891590274999998,1.4175,1.31858409725
Tm,9,16,1.0,Thulium,5.0,-0.02677711960000002,1.7739999999999998,1.8007771196
Re,6,7,1.0,Rhenium,4.0,0.26272191450000004,1.98833333325,1.7256114187499998
Be,2,2,1.0,Beryllium,6.0,0.9438488885000001,6.276666666666667,5.3328177781666675
U,10,7,1.0,Uranium,6.0,-0.09586073649999997,2.0,2.0958607365
Hf,6,4,1.0,Hafnium,8.0,-0.405092233625,2.3474999999999997,2.752592233625
Rh,5,9,1.0,Rhodium,8.0,0.14931939400000002,0.942375,0.793055606
Au,6,11,1.0,Gold,8.0,0.3969631682499999,2.40875,2.0117868317500003
Os,6,8,1.0,Osmium,10.0,-0.050862015100000005,0.9901666666999999,1.0410286818
Ho,9,14,1.0,Holmium,8.0,-0.24104489825000008,2.012708333375,2.2537532316249997
Ir,6,9,1.0,Iridium,8.0,0.057551083,1.071125,1.013573917
Ni,4,10,1.0,Nickel,11.0,0.05018969409090908,1.174090909090909,1.1239012149999998
Ru,5,8,1.0,Ruthenium,12.0,-0.036055073083333306,0.7825000000000001,0.8185550730833332
W,6,6,1.0,Tungsten,12.0,-0.036970832749999884,3.1351666666666667,3.172137499416667
Th,10,5,1.0,Thorium,12.0,0.21174885124999995,2.17,1.9582511487499998
Pt,6,10,1.0,Platinum,10.0,0.005653055499999937,1.7110777777999995,1.7054247223000005
Tb,9,12,1.0,Terbium,14.0,0.11657856292857141,2.2010714285714283,2.0844928656428574
Lu,9,18,1.0,Lutetium,16.0,-0.0014189252499999944,1.876875,1.8782939252499997
Co,4,9,1.0,Cobalt,13.0,-0.30761267076923077,0.9126923076923077,1.2203049784615385
Er,9,15,1.0,Erbium,20.0,0.026856038649999935,1.9329999999999998,1.90614396135
Pd,5,10,1.0,Palladium,18.0,-0.04016560888888884,1.0666666666666667,1.1068322755555555
Cr,4,6,1.0,Chromium,16.0,-0.12689333324999996,1.3743750000000001,1.5012683332499999
Zr,5,4,1.0,Zirconium,22.0,-0.02861331677272725,1.979545454545454,2.008158771318182
Dy,9,13,1.0,Dysprosium,21.0,0.07404980633333336,1.8988095238095242,1.8247597174761907
Nd,9,7,1.0,Neodymium,23.0,0.06828413404347825,2.158478260869565,2.0901941268260877
Sc,4,3,1.0,Scandium,24.0,0.03895314495833336,2.7222499999999994,2.6832968550416663
Pr,9,6,1.0,Praseodymium,23.0,0.027790857391304352,2.284782608695652,2.2569917513043474
Mg,3,2,1.0,Magnesium,22.0,-0.05762751122727268,2.518165501136364,2.575793012363637
Yb,9,17,1.0,Ytterbium,27.0,-0.07714031974074066,1.3970370370370373,1.474177356777778
Fe,4,8,1.0,Iron,27.0,-0.10231341207407404,1.1295987654444446,1.2319121775185187
Ce,9,5,1.0,Cerium,31.0,-0.16884186722580646,1.873225806451613,2.042067673677419
Ti,4,4,1.0,Titanium,30.0,-0.1545650558333333,2.2850833333333336,2.4396483891666665
Ca,4,2,1.0,Calcium,29.0,0.03628121541379312,3.3770137931034485,3.340732577689654
